,generation biomass,generation fossil brown coal/lignite,generation fossil gas,generation fossil hard coal,generation fossil oil,generation hydro pumped storage consumption,generation hydro run-of-river and poundage,generation hydro water reservoir,generation nuclear,generation other,generation other renewable,generation solar,generation waste,generation wind onshore,forecast solar day ahead,forecast wind onshore day ahead,total load forecast,total load actual,price day ahead,price actual,time__original_tz,temp,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,rain_1h,rain_3h,snow_3h,clouds_all,weather_id,total_renewable_generation,total_fossil_generation,renewable_generation_ratio
2015-01-01 09:00:00,422.0,173.0,4059.0,3516.0,167.0,2020.0,1041.0,1817.0,7096.0,43.0,72.0,2019.0,204.0,2683.0,1996.0,2617.0,22824.0,22250.0,43.1,58.94,2015-01-01 10:00:00+01:00,275.2296,275.2296,275.2296,1018.8,76.2,1.4,246.6,0.0,0.0,0.0,0.0,800.0,17170.0,8162.0,0.6777988315174482
2015-01-01 10:00:00,421.0,226.0,3931.0,3845.0,166.0,1183.0,1069.0,1516.0,7097.0,42.0,73.0,3197.0,206.0,2771.0,2990.0,2450.0,23720.0,23547.0,45.14,59.86,2015-01-01 11:00:00+01:00,282.2453375,282.2453375,282.2453375,1019.2,72.4,1.8,227.8,0.0,0.0,0.0,0.0,800.0,17327.0,8416.0,0.6730761760478576
2015-01-01 11:00:00,428.0,303.0,3784.0,4220.0,167.0,972.0,1052.0,1204.0,7097.0,41.0,75.0,3885.0,209.0,2906.0,3842.0,2819.0,24180.0,24133.0,45.14,60.12,2015-01-01 12:00:00+01:00,283.00146875,283.00146875,283.00146875,1019.2,69.2,1.8,227.0,0.0,0.0,0.0,0.0,800.0,17619.0,8724.0,0.6688304293360665
2015-01-01 12:00:00,425.0,288.0,3754.0,4404.0,167.0,922.0,1041.0,1286.0,7099.0,40.0,74.0,4007.0,210.0,2923.0,3812.0,2830.0,24797.0,24713.0,47.35,62.05,2015-01-01 13:00:00+01:00,282.70210000000003,282.70210000000003,282.70210000000003,1019.2,71.4,1.8,224.4,0.0,0.0,0.0,0.0,800.0,17777.0,8863.0,0.6673048048048048
2015-01-01 13:00:00,423.0,260.0,3779.0,4256.0,166.0,941.0,1028.0,1027.0,7097.0,40.0,76.0,3973.0,210.0,2945.0,3699.0,2851.0,25222.0,24672.0,47.35,62.06,2015-01-01 14:00:00+01:00,284.35119375,284.35119375,284.35119375,1032.2,52.8,2.0,157.0,0.0,0.0,0.0,0.0,800.0,17510.0,8711.0,0.6677853628770832
2015-01-01 14:00:00,421.0,183.0,3708.0,4038.0,160.0,1069.0,1023.0,1151.0,7096.0,40.0,76.0,3818.0,210.0,2709.0,3369.0,2822.0,24173.0,23528.0,43.61,59.76,2015-01-01 15:00:00+01:00,284.89760624999997,284.89760624999997,284.89760624999997,1033.2,51.0,1.8,153.0,0.0,0.0,0.0,0.0,800.0,17363.0,8339.0,0.6755505408139444
2015-01-01 15:00:00,422.0,256.0,3813.0,4191.0,163.0,970.0,1032.0,1156.0,7095.0,41.0,75.0,3088.0,211.0,2552.0,2615.0,2562.0,23659.0,23118.0,44.91,61.18,2015-01-01 16:00:00+01:00,281.2869,281.2869,281.2869,1033.2,66.4,2.0,169.2,0.0,0.0,0.0,0.8,800.0,16390.0,8675.0,0.653899860363056
2015-01-01 16:00:00,426.0,322.0,3967.0,4707.0,165.0,798.0,1036.0,1626.0,7095.0,41.0,75.0,1467.0,208.0,2699.0,1387.0,2578.0,23982.0,23606.0,48.1,64.74,2015-01-01 17:00:00+01:00,283.21899375000004,283.21899375000004,283.21899375000004,1034.6,58.8,2.0,158.4,0.0,0.0,0.0,0.4,800.0,15222.0,9410.0,0.6179766157843456
2015-01-01 17:00:00,427.0,282.0,4756.0,4756.0,164.0,1.0,1094.0,3203.0,7096.0,42.0,74.0,404.0,209.0,2764.0,399.0,2824.0,26981.0,26447.0,58.02,74.26,2015-01-01 18:00:00+01:00,280.994,280.994,280.994,1035.0,68.2,2.0,167.6,0.0,0.0,0.0,1.0,800.0,15063.0,10209.0,0.5960351377018044
2015-01-01 18:00:00,442.0,303.0,4410.0,4918.0,147.0,1.0,1153.0,5333.0,7096.0,42.0,76.0,139.0,208.0,2913.0,100.0,2801.0,28515.0,28020.0,61.01,74.24,2015-01-01 19:00:00+01:00,279.66695625,279.66695625,279.66695625,1025.4,69.4,2.0,180.0,0.0,0.0,0.0,3.2,800.2,17153.0,10028.0,0.6310658180346566
2015-01-01 19:00:00,445.0,318.0,4324.0,5025.0,154.0,0.0,1214.0,6183.0,7096.0,43.0,74.0,100.0,210.0,3118.0,44.0,2999.0,30482.0,29014.0,62.69,75.64,2015-01-01 20:00:00+01:00,277.19359999999995,277.19359999999995,277.19359999999995,1027.2,81.0,2.0,188.2,0.0,0.0,0.0,3.2,800.2,18230.0,10074.0,0.6440785754663652
2015-01-01 20:00:00,443.0,325.0,4684.0,5043.0,154.0,0.0,1220.0,6231.0,7096.0,43.0,74.0,75.0,212.0,3373.0,26.0,3185.0,30739.0,29571.0,60.41,73.92,2015-01-01 21:00:00+01:00,275.6182,275.6182,275.6182,1019.2,84.2,1.8,200.0,0.0,0.0,0.0,4.8,800.2,18512.0,10461.0,0.6389397024816208
2015-01-01 21:00:00,440.0,322.0,4870.0,4990.0,154.0,0.0,1178.0,5359.0,7098.0,43.0,74.0,74.0,210.0,3508.0,13.0,3446.0,29756.0,29031.0,58.15,70.53,2015-01-01 22:00:00+01:00,275.68559999999997,275.68559999999997,275.68559999999997,1019.2,83.8,1.8,198.4,0.0,0.0,0.0,0.8,800.0,17731.0,10589.0,0.6260946327683616
2015-01-01 22:00:00,438.0,320.0,4685.0,4942.0,160.0,0.0,1095.0,3511.0,7098.0,43.0,74.0,56.0,209.0,3527.0,14.0,3482.0,27589.0,26798.0,53.6,64.13,2015-01-01 23:00:00+01:00,274.24226250000004,274.24226250000004,274.24226250000004,1019.6,84.2,1.4,213.8,0.0,0.0,0.0,4.2,800.2,15799.0,10359.0,0.6039834849759156
2015-01-01 23:00:00,368.0,0.0,3189.0,1291.0,193.0,1290.0,1268.0,3871.0,7106.0,45.0,62.0,54.0,169.0,13232.0,5.0,13329.0,27309.0,27070.0,10.0,64.02,2015-01-02 00:00:00+01:00,274.22813125000005,274.22813125000005,274.22813125000005,1019.6,84.2,1.6,213.6,0.0,0.0,0.0,2.0,800.0,27251.0,4887.0,0.8479370215943742
2015-01-02 00:00:00,368.0,0.0,2902.0,1190.0,192.0,1996.0,1263.0,2996.0,7106.0,45.0,61.0,54.0,167.0,12760.0,35.0,12718.0,25397.0,24935.0,7.0,58.46,2015-01-02 01:00:00+01:00,274.0337,274.0337,274.0337,1019.6,84.4,1.4,220.4,0.0,0.0,0.0,3.2,800.2,26604.0,4496.0,0.8554340836012861
2015-01-02 01:00:00,358.0,0.0,2772.0,1023.0,189.0,2698.0,1246.0,2581.0,7107.0,44.0,60.0,54.0,167.0,12174.0,43.0,12375.0,23640.0,23214.0,5.0,54.7,2015-01-02 02:00:00+01:00,273.59266875000003,273.59266875000003,273.59266875000003,1019.0,84.8,1.6,242.6,0.0,0.0,0.0,0.0,800.0,26278.0,4195.0,0.862337150920487
2015-01-02 02:00:00,353.0,0.0,2936.0,1016.0,188.0,3269.0,1248.0,2933.0,7107.0,44.0,59.0,53.0,181.0,11358.0,32.0,11524.0,22638.0,22540.0,4.0,54.91,2015-01-02 03:00:00+01:00,273.45833125,273.45833125,273.45833125,1019.0,84.8,1.6,247.0,0.0,0.0,0.0,0.0,800.0,26380.0,4365.0,0.8580256952349976
2015-01-02 03:00:00,354.0,0.0,2893.0,1103.0,189.0,3267.0,1233.0,2646.0,7106.0,44.0,61.0,53.0,181.0,11199.0,31.0,11310.0,22238.0,22096.0,4.0,53.07,2015-01-02 04:00:00+01:00,273.4648,273.4648,273.4648,1019.2,85.0,1.6,241.4,0.0,0.0,0.0,2.0,800.0,25919.0,4410.0,0.8545946124171585
2015-01-02 04:00:00,354.0,0.0,2889.0,1120.0,190.0,3258.0,1225.0,2529.0,7105.0,44.0,59.0,63.0,171.0,11152.0,26.0,11111.0,22299.0,22066.0,4.8,54.23,2015-01-02 05:00:00+01:00,272.92893749999996,272.92893749999996,272.92893749999996,1019.8,84.4,1.4,193.0,0.0,0.0,0.0,1.2,800.0,25745.0,4414.0,0.8536423621472861
2015-01-02 05:00:00,357.0,0.0,2898.0,1167.0,189.0,3256.0,1241.0,2658.0,7105.0,44.0,60.0,55.0,185.0,11169.0,21.0,11303.0,22660.0,22275.0,5.0,58.22,2015-01-02 06:00:00+01:00,272.88846875,272.88846875,272.88846875,1019.8,84.6,1.4,190.8,0.0,0.0,0.0,2.6,800.2,25901.0,4483.0,0.8524552395997894
2015-01-02 06:00:00,357.0,0.0,2938.0,1067.0,194.0,2987.0,1247.0,2706.0,7105.0,44.0,60.0,54.0,186.0,11205.0,136.0,11297.0,23449.0,23025.0,7.04,67.55,2015-01-02 07:00:00+01:00,273.169,273.169,273.169,1019.8,84.2,1.4,189.4,0.0,0.0,0.0,2.4,800.2,25721.0,4429.0,0.8531011608623549
2015-01-02 07:00:00,359.0,0.0,2869.0,1098.0,196.0,2447.0,1274.0,3090.0,7105.0,44.0,59.0,116.0,183.0,10920.0,175.0,11048.0,24067.0,23699.0,7.04,70.33,2015-01-02 08:00:00+01:00,275.02393125,275.02393125,275.02393125,1020.8,83.4,1.6,181.2,0.0,0.0,0.0,4.2,800.2,25370.0,4390.0,0.852486559139785
2015-01-02 08:00:00,357.0,0.0,3090.0,1293.0,193.0,1907.0,1297.0,3579.0,7107.0,44.0,59.0,1039.0,188.0,10491.0,1092.0,10711.0,25737.0,25834.0,7.88,71.26,2015-01-02 09:00:00+01:00,275.19746875,275.19746875,275.19746875,1021.0,83.2,1.6,179.4,0.0,0.0,0.0,4.4,800.2,25836.0,4808.0,0.8431014227907584
2015-01-02 09:00:00,377.0,0.0,2844.0,1339.0,200.0,938.0,1319.0,4289.0,7107.0,45.0,60.0,2373.0,185.0,10156.0,2319.0,10379.0,27883.0,27927.0,10.71,75.86,2015-01-02 10:00:00+01:00,276.246,276.246,276.246,1021.0,78.8,1.6,181.2,0.0,0.0,0.0,4.0,800.2,26619.0,4613.0,0.8522989241803278
2015-01-02 10:00:00,376.0,0.0,2699.0,1335.0,199.0,747.0,1333.0,4332.0,7106.0,44.0,59.0,3699.0,181.0,10421.0,3451.0,10423.0,28969.0,29072.0,10.0,73.65,2015-01-02 11:00:00+01:00,280.48186875,280.48186875,280.48186875,1021.0,75.2,1.6,165.8,0.0,0.0,0.0,4.4,800.2,28073.0,4458.0,0.8629614828932403
2015-01-02 11:00:00,376.0,0.0,2606.0,1336.0,197.0,864.0,1324.0,3619.0,7104.0,44.0,60.0,4154.0,177.0,11230.0,4005.0,10989.0,28894.0,29071.0,7.04,74.19,2015-01-02 12:00:00+01:00,282.91313750000006,282.91313750000006,282.91313750000006,1029.8,63.6,1.6,205.6,0.0,0.0,0.0,4.2,800.2,28731.0,4360.0,0.8682421202139554
2015-01-02 12:00:00,373.0,0.0,2662.0,1341.0,208.0,906.0,1281.0,3392.0,7105.0,44.0,61.0,4074.0,183.0,11920.0,4120.0,11842.0,29460.0,29439.0,7.0,71.51,2015-01-02 13:00:00+01:00,283.43940000000003,283.43940000000003,283.43940000000003,1021.0,74.0,1.6,234.8,0.0,0.0,0.0,4.4,800.2,29112.0,4438.0,0.8677198211624441
2015-01-02 13:00:00,383.0,0.0,2729.0,1354.0,195.0,1047.0,1281.0,3487.0,7105.0,44.0,58.0,3851.0,190.0,11819.0,3794.0,12078.0,29389.0,29241.0,6.33,71.04,2015-01-02 14:00:00+01:00,285.725925,285.725925,285.725925,1037.8,52.0,1.6,241.8,0.0,0.0,0.0,4.0,800.2,29031.0,4512.0,0.8654860924783114
2015-01-02 14:00:00,391.0,0.0,2599.0,1298.0,195.0,1491.0,1284.0,2984.0,7105.0,44.0,57.0,3619.0,188.0,11961.0,3479.0,11797.0,28231.0,27973.0,5.0,71.24,2015-01-02 15:00:00+01:00,286.10747499999997,286.10747499999997,286.10747499999997,1036.8,52.0,1.8,238.2,0.0,0.0,0.0,4.0,800.2,28892.0,4324.0,0.8698217726396917
2015-01-02 15:00:00,395.0,0.0,2996.0,1184.0,195.0,1975.0,1283.0,3104.0,7106.0,44.0,59.0,3024.0,188.0,12025.0,2788.0,12061.0,27716.0,27320.0,6.21,70.64,2015-01-02 16:00:00+01:00,282.58820000000003,282.58820000000003,282.58820000000003,1038.0,68.4,1.6,223.8,0.0,0.0,0.0,8.4,800.4,28971.0,4607.0,0.8627970695097981
2015-01-02 16:00:00,394.0,0.0,3696.0,1047.0,195.0,1760.0,1295.0,3102.0,7105.0,44.0,59.0,2053.0,185.0,12077.0,1786.0,12102.0,27981.0,27157.0,9.98,72.85,2015-01-02 17:00:00+01:00,284.27,284.27,284.27,1036.6,63.0,1.6,223.8,0.0,0.0,0.0,6.8,800.2,27845.0,5167.0,0.8434811583666546
2015-01-02 17:00:00,410.0,0.0,4760.0,1178.0,199.0,595.0,1324.0,3886.0,7106.0,44.0,64.0,769.0,178.0,11276.0,618.0,11451.0,30136.0,29045.0,33.15,82.55,2015-01-02 18:00:00+01:00,282.05100000000004,282.05100000000004,282.05100000000004,1036.6,73.6,1.6,212.6,0.0,0.0,0.0,9.8,800.4,25430.0,6359.0,0.7999622510931454
2015-01-02 18:00:00,435.0,0.0,6030.0,1345.0,205.0,78.0,1352.0,5553.0,7104.0,44.0,68.0,266.0,199.0,10510.0,170.0,10619.0,32754.0,31967.0,50.0,83.33,2015-01-02 19:00:00+01:00,280.1599,280.1599,280.1599,1019.8,82.6,1.6,221.6,0.0,0.0,0.0,10.8,800.6,25366.0,7823.0,0.7642893729850252
2015-01-02 19:00:00,435.0,0.0,5973.0,1354.0,214.0,68.0,1369.0,5604.0,7106.0,44.0,69.0,165.0,203.0,10406.0,104.0,10216.0,33968.0,33266.0,52.01,83.23,2015-01-02 20:00:00+01:00,278.2275,278.2275,278.2275,1029.0,85.0,1.6,215.0,0.0,0.0,0.0,14.2,800.8,25222.0,7788.0,0.7640714934868221
2015-01-02 20:00:00,437.0,0.0,6082.0,1348.0,215.0,68.0,1370.0,5902.0,7107.0,45.0,69.0,137.0,204.0,10445.0,93.0,10470.0,33870.0,33668.0,50.01,79.06,2015-01-02 21:00:00+01:00,276.623,276.623,276.623,1020.6,85.4,1.6,228.2,0.0,0.0,0.0,15.6,800.6,25535.0,7894.0,0.7638577283197224
2015-01-02 21:00:00,437.0,0.0,5747.0,1429.0,217.0,68.0,1365.0,5347.0,7107.0,45.0,66.0,137.0,204.0,9976.0,92.0,10112.0,32715.0,32426.0,45.8,76.2,2015-01-02 22:00:00+01:00,276.6406,276.6406,276.6406,1020.4,85.6,1.6,225.0,0.0,0.0,0.0,16.4,800.6,24503.0,7642.0,0.7622647379063618
2015-01-02 22:00:00,443.0,0.0,4177.0,1432.0,220.0,68.0,1323.0,4969.0,7108.0,45.0,64.0,137.0,203.0,9527.0,81.0,9560.0,30052.0,29705.0,41.74,71.75,2015-01-02 23:00:00+01:00,276.0826,276.0826,276.0826,1020.6,85.8,1.6,229.6,0.0,0.0,0.0,14.4,800.6,23639.0,6077.0,0.7954973751514336
2015-01-02 23:00:00,478.0,0.0,3801.0,1798.0,246.0,502.0,1423.0,3719.0,7096.0,78.0,76.0,62.0,201.0,9264.0,2.0,9313.0,26323.0,25564.0,35.62,66.82,2015-01-03 00:00:00+01:00,275.5153,275.5153,275.5153,1025.6,85.6,1.6,200.4,0.0,0.0,0.0,9.6,800.4,22620.0,6124.0,0.7869468410798776
2015-01-03 00:00:00,463.0,0.0,3812.0,1351.0,245.0,1048.0,1392.0,3482.0,7095.0,78.0,68.0,62.0,198.0,9135.0,0.0,9215.0,24301.0,23584.0,27.1,63.35,2015-01-03 01:00:00+01:00,275.0334,275.0334,275.0334,1020.2,84.4,1.8,175.4,0.0,0.0,0.0,5.6,800.2,22745.0,5684.0,0.8000633156284076
2015-01-03 01:00:00,452.0,0.0,3745.0,1258.0,244.0,1880.0,1296.0,3060.0,7096.0,79.0,66.0,61.0,201.0,9362.0,0.0,9196.0,22651.0,22194.0,25.0,58.79,2015-01-03 02:00:00+01:00,274.75993125,274.75993125,274.75993125,1020.0,85.2,1.8,170.2,0.0,0.0,0.0,4.4,800.2,23273.0,5527.0,0.8080902777777778
2015-01-03 02:00:00,454.0,0.0,3638.0,1196.0,244.0,2441.0,1245.0,2474.0,7098.0,79.0,68.0,61.0,208.0,9628.0,2.0,9502.0,21785.0,21296.0,20.01,57.44,2015-01-03 03:00:00+01:00,274.32686875,274.32686875,274.32686875,1019.8,84.2,1.6,178.4,0.0,0.0,0.0,5.0,800.2,23469.0,5365.0,0.8139349379205105
2015-01-03 03:00:00,449.0,0.0,3515.0,1138.0,202.0,2767.0,1221.0,2266.0,7097.0,78.0,67.0,61.0,201.0,9607.0,2.0,9617.0,21418.0,21145.0,17.1,55.29,2015-01-03 04:00:00+01:00,274.3136,274.3136,274.3136,1019.8,84.2,1.6,177.2,0.0,0.0,0.0,5.2,800.2,23535.0,5134.0,0.8209215528968572
2015-01-03 04:00:00,453.0,0.0,3626.0,1180.0,189.0,2953.0,1212.0,2449.0,7098.0,79.0,66.0,61.0,188.0,9666.0,1.0,9619.0,21317.0,21316.0,17.22,56.22,2015-01-03 05:00:00+01:00,274.30953125,274.30953125,274.30953125,1019.4,84.0,1.8,178.8,0.0,0.0,0.0,6.6,800.4,23958.0,5262.0,0.819917864476386
2015-01-03 05:00:00,458.0,0.0,3556.0,1246.0,188.0,2744.0,1215.0,2620.0,7099.0,77.0,68.0,61.0,187.0,9743.0,1.0,9733.0,21768.0,21674.0,20.14,58.13,2015-01-03 06:00:00+01:00,273.8546625,273.8546625,273.8546625,1019.2,83.6,1.6,186.4,0.0,0.0,0.0,4.4,800.2,24008.0,5254.0,0.8204497300252888
2015-01-03 06:00:00,452.0,0.0,3524.0,1175.0,190.0,2279.0,1295.0,2559.0,7098.0,77.0,67.0,63.0,186.0,9401.0,37.0,9455.0,22276.0,22127.0,19.87,62.06,2015-01-03 07:00:00+01:00,274.0041,274.0041,274.0041,1019.4,83.2,1.6,190.4,0.0,0.0,0.0,4.4,800.2,23214.0,5152.0,0.8183741098498202
2015-01-03 07:00:00,438.0,0.0,4000.0,1249.0,190.0,2152.0,1295.0,3335.0,7097.0,77.0,66.0,233.0,186.0,8363.0,364.0,8564.0,22674.0,22756.0,20.22,67.36,2015-01-03 08:00:00+01:00,274.7111375,274.7111375,274.7111375,1019.4,83.0,1.6,187.8,0.0,0.0,0.0,2.4,800.2,22979.0,5702.0,0.8011924270422928
2015-01-03 08:00:00,433.0,0.0,4157.0,1415.0,226.0,1081.0,1380.0,4229.0,7097.0,76.0,68.0,820.0,197.0,7924.0,1080.0,8062.0,24595.0,24654.0,25.22,69.21,2015-01-03 09:00:00+01:00,275.9068625,275.9068625,275.9068625,1019.8,84.4,1.8,198.8,0.0,0.0,0.0,2.4,800.2,23032.0,6071.0,0.79139607600591
2015-01-03 09:00:00,419.0,0.0,3960.0,1597.0,249.0,341.0,1421.0,4827.0,7097.0,76.0,68.0,1665.0,205.0,7592.0,2015.0,7573.0,26431.0,26454.0,25.13,70.35,2015-01-03 10:00:00+01:00,276.8661,276.8661,276.8661,1019.8,80.6,1.8,196.8,0.0,0.0,0.0,1.2,800.0,23430.0,6087.0,0.7937798556763899
2015-01-03 10:00:00,431.0,0.0,3622.0,1569.0,250.0,325.0,1424.0,4429.0,7093.0,76.0,71.0,2488.0,202.0,7874.0,2935.0,7689.0,27260.0,26959.0,27.1,68.77,2015-01-03 11:00:00+01:00,283.74706249999997,283.74706249999997,283.74706249999997,1019.6,76.6,1.8,213.0,0.0,0.0,0.0,1.6,800.0,24135.0,5719.0,0.8084343806525088
2015-01-03 11:00:00,425.0,0.0,3138.0,1379.0,247.0,409.0,1417.0,4309.0,7094.0,76.0,64.0,3218.0,202.0,8192.0,3406.0,8082.0,27165.0,26716.0,28.71,68.82,2015-01-03 12:00:00+01:00,284.41853125,284.41853125,284.41853125,1019.6,74.0,1.8,212.6,0.0,0.0,0.0,0.8,800.0,25128.0,5042.0,0.8328803447132913
2015-01-03 12:00:00,427.0,0.0,3113.0,1193.0,249.0,1095.0,1390.0,3784.0,7095.0,76.0,64.0,3695.0,208.0,8718.0,3743.0,8571.0,27449.0,26802.0,25.0,68.23,2015-01-03 13:00:00+01:00,284.1812,284.1812,284.1812,1019.6,76.2,1.8,212.4,0.0,0.0,0.0,1.2,800.0,26268.0,4839.0,0.8444401581637574
2015-01-03 13:00:00,421.0,0.0,3114.0,1155.0,248.0,1750.0,1285.0,3709.0,7093.0,77.0,64.0,3780.0,210.0,9152.0,3756.0,9082.0,27154.0,26416.0,23.68,67.97,2015-01-03 14:00:00+01:00,285.1556,285.1556,285.1556,1019.6,72.0,1.8,211.8,0.0,0.0,0.0,0.0,800.0,27254.0,4804.0,0.8501466092706969
2015-01-03 14:00:00,410.0,0.0,2982.0,1137.0,206.0,2141.0,1277.0,3320.0,7092.0,76.0,62.0,3370.0,202.0,9382.0,3373.0,9168.0,26011.0,25362.0,14.87,62.76,2015-01-03 15:00:00+01:00,287.198,287.198,287.198,1018.0,68.0,1.8,202.6,0.0,0.0,0.0,0.0,800.0,27054.0,4603.0,0.8545977193037875
2015-01-03 15:00:00,397.0,0.0,2987.0,1205.0,190.0,2175.0,1279.0,3919.0,7092.0,76.0,61.0,2692.0,200.0,9307.0,2724.0,9502.0,25162.0,24770.0,11.7,62.03,2015-01-03 16:00:00+01:00,285.18035,285.18035,285.18035,1022.4,71.6,1.6,210.2,0.0,0.0,0.0,0.0,800.0,26922.0,4658.0,0.8525015832805574
2015-01-03 16:00:00,393.0,0.0,3169.0,1289.0,190.0,1936.0,1302.0,4256.0,7095.0,77.0,59.0,1931.0,201.0,8892.0,1852.0,9020.0,24691.0,24501.0,19.52,66.69,2015-01-03 17:00:00+01:00,285.40399375000004,285.40399375000004,285.40399375000004,1034.4,63.0,1.4,210.4,0.0,0.0,0.0,0.0,800.0,25864.0,4926.0,0.8400129912309191
2015-01-03 17:00:00,418.0,0.0,3221.0,1399.0,218.0,1271.0,1478.0,4812.0,7094.0,78.0,62.0,1015.0,212.0,8568.0,741.0,8641.0,25293.0,24992.0,25.13,71.5,2015-01-03 18:00:00+01:00,283.15100625,283.15100625,283.15100625,1035.0,71.0,1.2,215.8,0.0,0.0,0.0,0.0,800.0,24718.0,5128.0,0.828184681364337
2015-01-03 18:00:00,458.0,0.0,3033.0,1539.0,243.0,129.0,1544.0,5753.0,7094.0,79.0,66.0,502.0,222.0,9005.0,103.0,8863.0,28421.0,27964.0,39.71,72.14,2015-01-03 19:00:00+01:00,281.2858,281.2858,281.2858,1017.8,84.6,1.2,218.2,0.0,0.0,0.0,0.0,800.0,24551.0,5116.0,0.827552499410119
2015-01-03 19:00:00,462.0,0.0,3136.0,1555.0,244.0,0.0,1583.0,5946.0,7096.0,81.0,67.0,355.0,221.0,9672.0,111.0,9619.0,30293.0,29694.0,44.0,72.45,2015-01-03 20:00:00+01:00,277.69913125,277.69913125,277.69913125,1018.4,85.8,1.2,166.2,0.0,0.0,0.0,0.0,800.0,25181.0,5237.0,0.8278322046156881
